batch,draft,lang,pillar,format,active_topic,published_at,url,impressions,likes,replies,reposts,bookmarks,profile_clicks,follows,notes
2026-06-23,1,en,lectura_del_mundo,thread,,,,,,,,,,,
2026-06-23,1,es,lectura_del_mundo,thread,,,,,,,,,,,
2026-06-23,2,en,lectura_del_mundo,thread,,,,,,,,,,,
2026-06-23,2,es,lectura_del_mundo,thread,,,,,,,,,,,
2026-06-23,3,en,construir_con_ia,single,,,,,,,,,,,
2026-06-23,3,es,construir_con_ia,single,,,,,,,,,,,
2026-06-23,4,en,modelos_de_negocio,single,,,,,,,,,,,
2026-06-23,4,es,modelos_de_negocio,single,,,,,,,,,,,
2026-06-23,5,en,construir_con_ia,single,,,,,,,,,,,
2026-06-23,5,es,construir_con_ia,single,,,,,,,,,,,
2026-06-23,6,en,modelos_de_negocio,single,,,,,,,,,,,
2026-06-23,6,es,modelos_de_negocio,single,,,,,,,,,,,
2026-06-23,7,en,lectura_del_mundo,thread,gira_asia_seul,,,,,,,,,,
2026-06-23,7,es,lectura_del_mundo,thread,gira_asia_seul,,,,,,,,,,
2026-06-23,8,en,proceso_y_ejecucion,single,,,,,,,,,,,
2026-06-23,8,es,proceso_y_ejecucion,single,,,,,,,,,,,
